# Dependencies for design1099
# Analyse and report dependencies of modules.

# Summary Information
# Timestamp	Sat Jan 15 09:09:04 NZDT 2022
# Tool	mete-analysis(dependencies):20170202T1945
# System	design1099
# Codebase	./../grad009-01/design1099/design1099

# Attribute Descriptions
# 1	Source	The name of the module the dependency is from.
# 2	Package	The package the source module belongs to. Provided for convenience as it is part of the source name
# 3	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 4	Modifiers	The modifiers for the source module (comma separated).
# 5	Target	The name of the module the dependency is to.
# 6	Package	The package the target module belongs to. Provided for convenience as it is part of the target name
# 7	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 8	Category	Dependencies are classified according to what kind of dependency they represent.
# 9	Area	Classification of the area of the source module the dependency originates from.
# 10	Details	More details of the origin of the dependency. Typically formatted text.
# 11	Locations	Even more details of the origin of the dependency. Typically formatted text.
# 12	Target	Information about the target of the dependency within the target module, if such makes sense.
# 13	Visibility	The degree to which the dependency is visible outside the source module
# 14	Inheritance	In what way is the dependency due to inheritance (if it is)

# Data
# Source	Package	Kind	Modifiers	Target	Package	Kind	Category	Area	Details	Locations	Target	Visibility	Inheritance
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Put	Method	kalah.backend.GameManager#public <init>() {}	13	kalah.backend.GameManager#private final kalah.backend.Pit[] storeBoard	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	void*		Primitive	Return	Method	kalah.backend.GameManager#private void InitSeedsandHouses() {}		To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Local	Method	kalah.backend.GameManager#private void InitSeedsandHouses() {}	0,1	To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.House	kalah.backend	Class	InvokeSpecial	Method	kalah.backend.GameManager#private void InitSeedsandHouses() {}	2	kalah.backend.House#public <init>(int,int) {}	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.Store	kalah.backend	Class	InvokeSpecial	Method	kalah.backend.GameManager#private void InitSeedsandHouses() {}	4	kalah.backend.Store#public <init>(int,int) {}	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Get	Method	kalah.backend.GameManager#private void InitSeedsandHouses() {}	1	kalah.backend.GameManager#private final kalah.backend.Pit[] board	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Get	Method	kalah.backend.GameManager#private void InitSeedsandHouses() {}	3	kalah.backend.GameManager#private final kalah.backend.Pit[] storeBoard	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Parameter	Method	kalah.backend.GameManager#public boolean move(int,int) {}	0,1	To whole module	Public	None
kalah.backend.GameManager	kalah.backend	Class	public	boolean*		Primitive	Return	Method	kalah.backend.GameManager#public boolean move(int,int) {}		To whole module	Public	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Local	Method	kalah.backend.GameManager#public boolean move(int,int) {}	0,1,2,3,5,6	To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	boolean*		Primitive	Local	Method	kalah.backend.GameManager#public boolean move(int,int) {}	4	To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	InvokeSpecial	Method	kalah.backend.GameManager#public boolean move(int,int) {}	1	kalah.backend.GameManager#private boolean verifyValidInput(int) {}	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	InvokeInstance	Method	kalah.backend.GameManager#public boolean move(int,int) {}	2,11	kalah.backend.GameManager#public int getSeedsInHousesAmount(int) {}	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.Pit	kalah.backend	Class	InvokeInstance	Method	kalah.backend.GameManager#public boolean move(int,int) {}	4	kalah.backend.Pit#public void removeHouseValue() {}	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.Pit	kalah.backend	Class	InvokeInstance	Method	kalah.backend.GameManager#public boolean move(int,int) {}	6,9,13	kalah.backend.Pit#public void addHouseValue(int) {}	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	InvokeInstance	Method	kalah.backend.GameManager#public boolean move(int,int) {}	16,18	kalah.backend.GameManager#public int getPlayerTurn() {}	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	InvokeSpecial	Method	kalah.backend.GameManager#public boolean move(int,int) {}	17,19	kalah.backend.GameManager#private void CaptureHouse(int,int,int) {}	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Put	Method	kalah.backend.GameManager#public boolean move(int,int) {}	14,7,10	kalah.backend.GameManager#private boolean LastSeedSown	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Get	Method	kalah.backend.GameManager#public boolean move(int,int) {}	15	kalah.backend.GameManager#private boolean LastSeedSown	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Get	Method	kalah.backend.GameManager#public boolean move(int,int) {}	3,12	kalah.backend.GameManager#private final kalah.backend.Pit[] board	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Get	Method	kalah.backend.GameManager#public boolean move(int,int) {}	5,8	kalah.backend.GameManager#private final kalah.backend.Pit[] storeBoard	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Parameter	Method	kalah.backend.GameManager#private boolean verifyValidInput(int) {}	0	To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	boolean*		Primitive	Return	Method	kalah.backend.GameManager#private boolean verifyValidInput(int) {}		To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.Pit	kalah.backend	Class	InvokeInstance	Method	kalah.backend.GameManager#private boolean verifyValidInput(int) {}	2	kalah.backend.Pit#public int getHouseValue() {}	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Get	Method	kalah.backend.GameManager#private boolean verifyValidInput(int) {}	1	kalah.backend.GameManager#private final kalah.backend.Pit[] board	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Parameter	Method	kalah.backend.GameManager#public int getSeedsInHousesAmount(int) {}	0	To whole module	Public	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Return	Method	kalah.backend.GameManager#public int getSeedsInHousesAmount(int) {}		To whole module	Public	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.Pit	kalah.backend	Class	InvokeInstance	Method	kalah.backend.GameManager#public int getSeedsInHousesAmount(int) {}	2	kalah.backend.Pit#public int getHouseValue() {}	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Get	Method	kalah.backend.GameManager#public int getSeedsInHousesAmount(int) {}	1	kalah.backend.GameManager#private final kalah.backend.Pit[] board	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Return	Method	kalah.backend.GameManager#public int getPlayerTurn() {}		To whole module	Public	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Get	Method	kalah.backend.GameManager#public int getPlayerTurn() {}	1	kalah.backend.GameManager#private int PlayerTurn	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Parameter	Method	kalah.backend.GameManager#private void CaptureHouse(int,int,int) {}	0,1,2	To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	void*		Primitive	Return	Method	kalah.backend.GameManager#private void CaptureHouse(int,int,int) {}		To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Local	Method	kalah.backend.GameManager#private void CaptureHouse(int,int,int) {}	0	To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	InvokeInstance	Method	kalah.backend.GameManager#private void CaptureHouse(int,int,int) {}	1,2	kalah.backend.GameManager#public int getSeedsInHousesAmount(int) {}	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.Pit	kalah.backend	Class	InvokeInstance	Method	kalah.backend.GameManager#private void CaptureHouse(int,int,int) {}	5	kalah.backend.Pit#public void addHouseValue(int) {}	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.Pit	kalah.backend	Class	InvokeInstance	Method	kalah.backend.GameManager#private void CaptureHouse(int,int,int) {}	7,9	kalah.backend.Pit#public void removeHouseValue() {}	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Get	Method	kalah.backend.GameManager#private void CaptureHouse(int,int,int) {}	6,8	kalah.backend.GameManager#private final kalah.backend.Pit[] board	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Get	Method	kalah.backend.GameManager#private void CaptureHouse(int,int,int) {}	4	kalah.backend.GameManager#private final kalah.backend.Pit[] storeBoard	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Return	Method	kalah.backend.GameManager#public int[] getInit() {}		To whole module	Public	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Local	Method	kalah.backend.GameManager#public int[] getInit() {}	0	To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Parameter	Method	kalah.backend.GameManager#public int getSeedsInStoresAmount(int) {}	0	To whole module	Public	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Return	Method	kalah.backend.GameManager#public int getSeedsInStoresAmount(int) {}		To whole module	Public	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.Pit	kalah.backend	Class	InvokeInstance	Method	kalah.backend.GameManager#public int getSeedsInStoresAmount(int) {}	2	kalah.backend.Pit#public int getHouseValue() {}	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Get	Method	kalah.backend.GameManager#public int getSeedsInStoresAmount(int) {}	1	kalah.backend.GameManager#private final kalah.backend.Pit[] storeBoard	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	void*		Primitive	Return	Method	kalah.backend.GameManager#public void playerTurn() {}		To whole module	Public	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Local	Method	kalah.backend.GameManager#public void playerTurn() {}	0	To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Put	Method	kalah.backend.GameManager#public void playerTurn() {}	3,5	kalah.backend.GameManager#private int PlayerTurn	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Get	Method	kalah.backend.GameManager#public void playerTurn() {}	1,2,4	kalah.backend.GameManager#private int PlayerTurn	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Parameter	Method	kalah.backend.GameManager#public int getPlayerValidMove(int) {}	0	To whole module	Public	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Return	Method	kalah.backend.GameManager#public int getPlayerValidMove(int) {}		To whole module	Public	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Local	Method	kalah.backend.GameManager#public int getPlayerValidMove(int) {}	0,1,2,3,4	To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	InvokeInstance	Method	kalah.backend.GameManager#public int getPlayerValidMove(int) {}	1	kalah.backend.GameManager#public int getSeedsInHousesAmount(int) {}	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	boolean*		Primitive	Return	Method	kalah.backend.GameManager#public boolean getLastSeedStatus() {}		To whole module	Public	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Get	Method	kalah.backend.GameManager#public boolean getLastSeedStatus() {}	1	kalah.backend.GameManager#private boolean LastSeedSown	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	void*		Primitive	Return	Method	kalah.backend.GameManager#public void CleanBoard() {}		To whole module	Public	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Local	Method	kalah.backend.GameManager#public void CleanBoard() {}	0,1	To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.Pit	kalah.backend	Class	InvokeInstance	Method	kalah.backend.GameManager#public void CleanBoard() {}	3,7	kalah.backend.Pit#public int getHouseValue() {}	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.Pit	kalah.backend	Class	InvokeInstance	Method	kalah.backend.GameManager#public void CleanBoard() {}	4,8	kalah.backend.Pit#public void addHouseValue(int) {}	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Get	Method	kalah.backend.GameManager#public void CleanBoard() {}	2,6	kalah.backend.GameManager#private final kalah.backend.Pit[] board	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Get	Method	kalah.backend.GameManager#public void CleanBoard() {}	1,5	kalah.backend.GameManager#private final kalah.backend.Pit[] storeBoard	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Return	Method	kalah.backend.GameManager#public int getWinner() {}		To whole module	Public	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Local	Method	kalah.backend.GameManager#public int getWinner() {}	0,1,2	To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.Pit	kalah.backend	Class	InvokeInstance	Method	kalah.backend.GameManager#public int getWinner() {}	2,4,6,8	kalah.backend.Pit#public int getHouseValue() {}	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Get	Method	kalah.backend.GameManager#public int getWinner() {}	5,7,1,3	kalah.backend.GameManager#private final kalah.backend.Pit[] storeBoard	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.Pit	kalah.backend	Class	Field	Field	kalah.backend.GameManager#private final kalah.backend.Pit[] board		To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.Pit	kalah.backend	Class	Field	Field	kalah.backend.GameManager#private final kalah.backend.Pit[] storeBoard		To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Field	Field	kalah.backend.GameManager#private int PlayerStart		To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Field	Field	kalah.backend.GameManager#private int PlayerTurn		To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Field	Field	kalah.backend.GameManager#private final int InitialHouses		To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Field	Field	kalah.backend.GameManager#private final int InitialStoresPerPlayer		To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Field	Field	kalah.backend.GameManager#private final int InitialAmountInHouses		To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Field	Field	kalah.backend.GameManager#private final int InitialAmountInStores		To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Field	Field	kalah.backend.GameManager#private final int NumberOfPlayers		To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	int*		Primitive	Field	Field	kalah.backend.GameManager#private final int PlaceAmount		To whole module	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	boolean*		Primitive	Field	Field	kalah.backend.GameManager#private boolean LastSeedSown		To whole module	Private	None
kalah.backend.Store	kalah.backend	Class	public	kalah.backend.Pit	kalah.backend	Class	Extends	Header			To whole module	Public	None
kalah.backend.Store	kalah.backend	Class	public	int*		Primitive	Parameter	Constructor	kalah.backend.Store#public <init>(int,int) {}	0,1	To whole module	Public	None
kalah.backend.Store	kalah.backend	Class	public	kalah.backend.Pit	kalah.backend	Class	InvokeSuper	Method	kalah.backend.Store#public <init>(int,int) {}	1	kalah.backend.Pit#public <init>(int,int) {}	Private	None
kalah.backend.House	kalah.backend	Class	public	kalah.backend.Pit	kalah.backend	Class	Extends	Header			To whole module	Public	None
kalah.backend.House	kalah.backend	Class	public	int*		Primitive	Parameter	Constructor	kalah.backend.House#public <init>(int,int) {}	0,1	To whole module	Public	None
kalah.backend.House	kalah.backend	Class	public	kalah.backend.Pit	kalah.backend	Class	InvokeSuper	Method	kalah.backend.House#public <init>(int,int) {}	1	kalah.backend.Pit#public <init>(int,int) {}	Private	None
kalah.frontend.Display	kalah.frontend	Interface	public,abstract	void*		Primitive	Return	Method	kalah.frontend.Display#public abstract void PrintBoardState() <>		To whole module	Public	None
kalah.frontend.Display	kalah.frontend	Interface	public,abstract	void*		Primitive	Return	Method	kalah.frontend.Display#public abstract void PrintQuit() <>		To whole module	Public	None
kalah.frontend.Display	kalah.frontend	Interface	public,abstract	void*		Primitive	Return	Method	kalah.frontend.Display#public abstract void PrintScore() <>		To whole module	Public	None
kalah.frontend.Display	kalah.frontend	Interface	public,abstract	void*		Primitive	Return	Method	kalah.frontend.Display#public abstract void PrintWinner() <>		To whole module	Public	None
kalah.frontend.Display	kalah.frontend	Interface	public,abstract	int*		Primitive	Parameter	Method	kalah.frontend.Display#public abstract int PrintMove(int) <>	0	To whole module	Public	None
kalah.frontend.Display	kalah.frontend	Interface	public,abstract	int*		Primitive	Return	Method	kalah.frontend.Display#public abstract int PrintMove(int) <>		To whole module	Public	None
kalah.frontend.Display	kalah.frontend	Interface	public,abstract	void*		Primitive	Return	Method	kalah.frontend.Display#public abstract void PrintTryAgain() <>		To whole module	Public	None
kalah.backend.Pit	kalah.backend	Class	public,abstract	java.lang.Object*	java.lang	Class	Extends	Header			To whole module	Public	None
kalah.backend.Pit	kalah.backend	Class	public,abstract	int*		Primitive	Parameter	Constructor	kalah.backend.Pit#public <init>(int,int) {}	0,1	To whole module	Public	None
kalah.backend.Pit	kalah.backend	Class	public,abstract	java.lang.Object*	java.lang	Class	InvokeSuper	Method	kalah.backend.Pit#public <init>(int,int) {}	1	java.lang.Object#public <init>() <>*	Private	None
kalah.backend.Pit	kalah.backend	Class	public,abstract	kalah.backend.Pit	kalah.backend	Class	Put	Method	kalah.backend.Pit#public <init>(int,int) {}	3	kalah.backend.Pit#protected int houseValue	Private	None
kalah.backend.Pit	kalah.backend	Class	public,abstract	kalah.backend.Pit	kalah.backend	Class	Put	Method	kalah.backend.Pit#public <init>(int,int) {}	2	kalah.backend.Pit#protected int player	Private	None
kalah.backend.Pit	kalah.backend	Class	public,abstract	int*		Primitive	Return	Method	kalah.backend.Pit#public int getHouseValue() {}		To whole module	Public	None
kalah.backend.Pit	kalah.backend	Class	public,abstract	kalah.backend.Pit	kalah.backend	Class	Get	Method	kalah.backend.Pit#public int getHouseValue() {}	1	kalah.backend.Pit#protected int houseValue	Private	None
kalah.backend.Pit	kalah.backend	Class	public,abstract	int*		Primitive	Parameter	Method	kalah.backend.Pit#public void addHouseValue(int) {}	0	To whole module	Public	None
kalah.backend.Pit	kalah.backend	Class	public,abstract	void*		Primitive	Return	Method	kalah.backend.Pit#public void addHouseValue(int) {}		To whole module	Public	None
kalah.backend.Pit	kalah.backend	Class	public,abstract	kalah.backend.Pit	kalah.backend	Class	Put	Method	kalah.backend.Pit#public void addHouseValue(int) {}	2	kalah.backend.Pit#protected int houseValue	Private	None
kalah.backend.Pit	kalah.backend	Class	public,abstract	kalah.backend.Pit	kalah.backend	Class	Get	Method	kalah.backend.Pit#public void addHouseValue(int) {}	1	kalah.backend.Pit#protected int houseValue	Private	None
kalah.backend.Pit	kalah.backend	Class	public,abstract	void*		Primitive	Return	Method	kalah.backend.Pit#public void removeHouseValue() {}		To whole module	Public	None
kalah.backend.Pit	kalah.backend	Class	public,abstract	kalah.backend.Pit	kalah.backend	Class	Put	Method	kalah.backend.Pit#public void removeHouseValue() {}	1	kalah.backend.Pit#protected int houseValue	Private	None
kalah.backend.Pit	kalah.backend	Class	public,abstract	int*		Primitive	Field	Field	kalah.backend.Pit#protected int houseValue		To whole module	Protected	None
kalah.backend.Pit	kalah.backend	Class	public,abstract	int*		Primitive	Field	Field	kalah.backend.Pit#protected int player		To whole module	Protected	None
kalah.frontend.DisplayManager	kalah.frontend	Class	public	java.lang.Object*	java.lang	Class	Extends	Header			To whole module	Public	None
kalah.frontend.DisplayManager	kalah.frontend	Class	public	kalah.frontend.Display	kalah.frontend	Interface	Implements	Header			To whole module	Public	None
kalah.frontend.DisplayManager	kalah.frontend	Class	public	com.qualitascorpus.testsupport.IO*?	com.qualitascorpus.testsupport	Unknown	Parameter	Constructor	kalah.frontend.DisplayManager#public <init>(com.qualitascorpus.testsupport.IO,kalah.backend.Game) {}	0	To whole module	Public	None
kalah.frontend.DisplayManager	kalah.frontend	Class	public	kalah.backend.Game	kalah.backend	Interface	Parameter	Constructor	kalah.frontend.DisplayManager#public <init>(com.qualitascorpus.testsupport.IO,kalah.backend.Game) {}	1	To whole module	Public	None
kalah.frontend.DisplayManager	kalah.frontend	Class	public	java.lang.Object*	java.lang	Class	InvokeSuper	Method	kalah.frontend.DisplayManager#public <init>(com.qualitascorpus.testsupport.IO,kalah.backend.Game) {}	1	java.lang.Object#public <init>() <>*	Private	None
kalah.frontend.DisplayManager	kalah.frontend	Class	public	kalah.frontend.DisplayManager	kalah.frontend	Class	Put	Method	kalah.frontend.DisplayManager#public <init>(com.qualitascorpus.testsupport.IO,kalah.backend.Game) {}	3	kalah.frontend.DisplayManager#private final kalah.backend.Game board	Private	None
kalah.frontend.DisplayManager	kalah.frontend	Class	public	kalah.frontend.DisplayManager	kalah.frontend	Class	Put	Method	kalah.frontend.DisplayManager#public <init>(com.qualitascorpus.testsupport.IO,kalah.backend.Game) {}	2	kalah.frontend.DisplayManager#private final com.qualitascorpus.testsupport.IO io	Private	None
kalah.frontend.DisplayManager	kalah.frontend	Class	public	void*		Primitive	Return	Method	kalah.frontend.DisplayManager#public void PrintBoardState() {}		To whole module	Public	None
kalah.frontend.DisplayManager	kalah.frontend	Class	public	kalah.frontend.DisplayManager	kalah.frontend	Class	InvokeSpecial	Method	kalah.frontend.DisplayManager#public void PrintBoardState() {}	1,3,5	kalah.frontend.DisplayManager#private void PrintEnclosure(int) {}	Private	None
kalah.frontend.DisplayManager	kalah.frontend	Class	public	kalah.frontend.DisplayManager	kalah.frontend	Class	InvokeInstance	Method	kalah.frontend.DisplayManager#public void PrintBoardState() {}	2,4	kalah.frontend.DisplayManager#public void PrintPlayerHouses(int) {}	Private	None
kalah.frontend.DisplayManager	kalah.frontend	Class	public	int*		Primitive	Parameter	Method	kalah.frontend.DisplayManager#private void PrintEnclosure(int) {}	0	To whole module	Private	None
kalah.frontend.DisplayManager	kalah.frontend	Class	public	void*		Primitive	Return	Method	kalah.frontend.DisplayManager#private void PrintEnclosure(int) {}		To whole module	Private	None
kalah.frontend.DisplayManager	kalah.frontend	Class	public	int*		Primitive	Local	Method	kalah.frontend.DisplayManager#private void PrintEnclosure(int) {}	0,1,2	To whole module	Private	None
kalah.frontend.DisplayManager	kalah.frontend	Class	public	kalah.backend.Game	kalah.backend	Interface	InvokeInterface	Method	kalah.frontend.DisplayManager#private void PrintEnclosure(int) {}	2	kalah.backend.Game#public abstract int[] getInit() <>	Private	None
